date,GDPC96,PCECC96,PCDGCC96_Q,PCESVC96_Q,PCNDGC96_Q,GPDIC96,FPIC96_Q,NRIPDC96_Q,PNFIC96_Q,PRFIC96_Q,CBIC96_GDP,GCEC96,FGCEC96_Q,GRECPT,SLCEC96_Q,EXPGSC96,IMPGSC96,DPIC96,OUTNFB,OUTBS,INDPRO,IPFINAL,IPCONGD,IPMAT,IPDMAT,IPNMAT,IPDCONGD,IP.B51110.S,IPNCONGD,IP.B52000.S,TCU,PAYEMS,USPRIV,MANEMP,SRVPRD,USGOOD,DMANEMP,NDMANEMP,USCONS,USEHS,USFIRE,USINFO,USPBS,USLAH,USSERV,USMINE,USTPU,USGOVT,USTRADE,USWTRADE,CES9091000001,CES9092000001,CES9093000001,CE160V,LNS11300000,LNS14000000,URATE_ST,URATE_LT,LNS14000012,LNS14000025,LNS14000026,LNS1300839,LNS13008756,UEMP15T26,LNS13008636,LNS13023621,LNS13023557,LNS13023705,LNS13023569,LNS12032194,HOABS,HOANBS,AWHMAN,AWHNONAG,AWOTMAN,A0M046,A0M057,A0M059,A0M007,A0M008,A1M092,A0M027,NAPMSDI,NAPMII,NAPMNOI,A0M070
1959,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.002271718,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.124996718,NaN,NaN,-20.51675197,NaN,NaN,NaN,NaN,NaN,NaN,9.661281816,2.893106035,12.32346661,NaN
1959.25,0.014226846,0.005303947,0.022826856,0.003951461,0.001112134,0.062617509,0.018331558,0.012692591,0.013744017,0.028256013,0.003448509,0.005474075,0.014457286,0.019652278,-0.00773777,0.015951003,0.032114457,0.005534089,0.020425997,0.017920606,0.03655077,0.018263722,0.009519593,0.05859749,0.0801031,0.037605446,0.024179527,0.040074707,0.005029752,0.034907661,NaN,0.008614656,0.011215397,0.020006449,0.002162281,0.02055104,0.029720086,0.006188453,0.027194231,0.002221928,0.001792648,0.010620696,0.005447589,0.004285894,0.002197917,0.006903648,0.005203543,-0.005473724,0.002274955,0.005188237,-0.00634508,-0.00799537,-0.003907621,0.008151458,0.034533002,-0.732132285,-0.556615653,-0.22295606,0.850794702,-0.917169806,-0.566556966,-0.027596447,-0.17073684,-0.319940866,-0.224785731,NaN,NaN,NaN,NaN,-0.081028914,0.020389736,0.014971,0.17743114,NaN,0.256104161,-16.08480781,0.025067021,-0.000296404,0.013592561,-0.000970191,0.026798925,0.058874473,8.346874839,14.03816138,9.452719799,0.015270148
1959.5,-0.011698853,0.000417996,0.0050264,0.002466251,-0.003264626,-0.079012415,-0.001479746,0.015249421,0.011848217,-0.024915042,-0.004988911,0.001691337,0.009300338,-0.020284143,-0.00935316,0.014495858,-0.005731486,-0.011677693,-0.015237995,-0.015210211,-0.052519666,0.002280925,0.000971413,-0.1201245,-0.194272913,-0.009750784,-0.010211927,-0.046722037,0.004101292,0.002053239,NaN,-0.006109391,-0.006686187,-0.010432916,-0.002914469,-0.011285633,-0.021345544,0.005204279,-0.009435221,-0.004400139,-0.000743416,-0.008194084,-0.005702893,-0.002457575,-0.003948737,-0.034039241,-0.001205182,-0.002602169,0.000426697,0.0068248,-0.004024999,-0.006622317,-0.000251359,-0.003200032,0.000580855,0.167020851,0.404021382,-0.156578408,0.717013887,0.281715812,-0.133852409,0.058262602,0.163721002,0.028970294,-0.201499273,NaN,NaN,NaN,NaN,0.036085683,-0.012477922,-0.006916355,-0.053399234,NaN,-0.077004423,-13.98481072,-0.025281577,-0.00118184,-0.098950875,-0.059641448,-0.015712955,0.001041509,2.500517191,1.517486229,-4.38441899,0.002038566
1959.75,-0.005819489,-0.008827438,-0.06292563,0.001148719,-0.000902454,0.019812683,-0.023672521,-0.018783346,-0.017362737,-0.034726865,-0.000507128,-0.014929213,-0.013729811,-0.004620322,-0.015489494,-0.043807963,-0.04078158,-0.00313488,-0.011846644,-0.008271687,-0.005937533,-0.02215055,-0.020322923,0.012946531,0.0304035,-0.023177181,-0.065620648,-0.167344793,-0.003675984,-0.026979099,NaN,-0.002468522,-0.003630681,-0.00394525,-0.0002516,-0.005979775,-0.005526016,-0.001652744,-0.017671792,0.001740362,-0.000402132,-0.004523719,-0.000653176,-0.001906231,0.001355565,0.000908343,-0.002593092,0.004198015,-0.002335564,-0.001162799,0.011191183,-0.001261767,0.002545875,-0.003989368,-3.11E-05,0.332865738,0.303909349,-0.011170414,0.18326039,0.347290925,0.198872127,0.063332146,0.047137744,0.107700192,-0.015590659,NaN,NaN,NaN,NaN,0.059441844,-0.004015059,-0.003826562,-0.317500493,NaN,-0.176788624,-15.21695742,-0.008199279,-0.026314385,0.001918311,-0.016716761,0.003668572,-0.036461181,0.088742979,-6.335720178,-2.854667783,-0.006475724
1960,0.012315984,-0.000459845,0.017535211,-0.001930856,-0.004577429,0.083615082,0.020860639,0.017328985,0.0195644,0.024249187,0.007588269,-0.023798807,-0.042170018,0.064017203,0.00644621,0.101337518,0.022184219,0.001581352,0.018852353,0.014404046,0.047887639,0.025547465,0.028204405,0.082787407,0.136369997,0.014842648,0.110026433,0.287095184,-0.001378793,0.024421254,NaN,0.006586485,0.007696142,0.021334412,0.002466611,0.014469377,0.034098175,0.003116735,-0.020088124,0.001815077,0.000463413,0.01126762,0.004913434,0.003783848,0.001797938,0.012357722,0.002160762,0.000770416,0.00357785,-0.002137715,0.008360401,-0.007943678,-0.00010133,-0.00040705,-0.467302278,-0.467930792,-0.418495496,-0.020770636,-1.017130984,-0.420442517,-0.335050693,-0.091887288,-0.128545289,-0.010952827,-0.035159039,NaN,NaN,NaN,NaN,-0.101679533,-0.005821017,0.002195003,-0.114882603,NaN,0.156753249,-15.11478364,0.016002565,0.00738099,-0.014634473,-0.003802612,-0.070813955,-0.051811018,-19.95515231,1.678478058,-0.758016561,0.018831814
1960.25,-0.013491492,0.002686406,0.008472901,0.000181831,0.003807179,-0.109974187,-0.030280304,-2.92E-05,-8.04E-06,-0.091389883,-0.002160768,0.004014398,-0.00177329,-0.019327156,0.013712069,0.044995405,-0.007509199,-0.003962316,-0.022047846,-0.019414565,-0.032545357,-0.011020156,-0.004599175,-0.061008814,-0.093312233,-0.022444575,-0.028876814,-0.033581514,0.004254387,-0.020447735,NaN,-0.003839281,-0.00461884,-0.012735427,-0.000178801,-0.009975052,-0.020128507,-0.002027101,0.003539965,-0.00175089,-0.000672862,-0.00622956,-0.003980627,0.002969367,-0.001833346,-0.005215059,0.001405132,0.000675359,0.002049222,-0.002791342,0.00452911,0.000650225,-0.001118687,0.008110939,0.632099393,0.097965142,0.151857539,-0.058683181,-0.25082477,0.045183172,0.064378944,0.084415433,0.012951216,-0.038703238,-0.086397377,NaN,NaN,NaN,NaN,0.115229786,0.006808412,-0.002210806,-0.412219555,NaN,-0.409711284,-18.01182524,-0.023224382,0.003797501,-0.013849028,-0.023749469,-0.061663541,0.025550926,-23.53115763,-6.206602829,-8.427784181,-0.00129345
1960.5,-0.007175942,-0.013906656,-0.021916486,-0.012007594,-0.012896417,-0.014650908,-0.033563175,-0.060761442,-0.032222292,-0.036276022,-0.000534617,0.017319583,0.026530999,-0.016460291,0.004430575,-0.042137064,-0.044835974,-0.008426416,-0.012999687,-0.009008674,-0.02713904,-0.024062258,-0.021744461,-0.031754686,-0.038605764,-0.026225968,-0.051797852,-0.046623549,-0.010443176,-0.02824528,NaN,-0.011281094,-0.011771854,-0.015578849,-0.008701467,-0.015555473,-0.020486156,-0.00853685,-0.014159719,-0.003978782,-0.000603966,-0.012399954,-0.007064226,-0.012248792,-0.003640048,-0.019174142,-0.011102008,-0.008388604,-0.012136975,-0.00319133,0.00034005,0.004429777,0.000155808,-0.005385303,-0.03516036,0.297219313,0.259573577,0.032942606,0.282179144,0.444167311,0.197159934,-0.019003562,0.117427549,0.152840445,0.053925286,NaN,NaN,NaN,NaN,0.047618738,-0.004567599,-0.009657471,-0.742851414,NaN,-0.076181203,-20.90828225,-0.017745411,-0.023218588,0.012303925,0.006928883,-0.028283872,-0.05505856,-18.50592082,-9.557615078,-6.797277767,-0.004544306
1960.75,-0.021815688,-0.008612255,-0.039301468,-0.001175346,-0.006313928,-0.129481017,-0.013882892,-0.052430775,-0.01679828,-0.006961918,-0.012585073,1.54E-05,-3.82E-05,-0.02313787,0.001032551,0.003997993,-0.063262627,-0.010586793,-0.031772831,-0.028447859,-0.034910618,-0.022233353,-0.016392888,-0.053234069,-0.076665969,-0.033541256,-0.039304785,-0.041872873,-0.008147561,-0.035623365,NaN,-0.012067554,-0.014163692,-0.02058347,-0.006982979,-0.021101605,-0.027544898,-0.010727797,-0.024490882,-0.00436336,-0.003273075,-0.015992308,-0.008512028,-0.008895795,-0.00454992,-0.016985114,-0.010868319,-0.000630663,-0.009960085,-0.010373676,0.002939955,-0.001725094,-0.00192819,-0.007611787,0.030919573,0.729831091,0.544698991,0.190100687,1.115211246,0.609843232,0.763291693,0.077153761,0.105537491,0.190275142,0.274408078,NaN,NaN,NaN,NaN,0.069745919,-0.014561531,-0.013316638,-1.273452738,NaN,-0.209322917,-24.80434776,-0.015284971,-0.01265872,-0.06046809,-0.030853145,-0.032613263,-0.03259543,-17.4794186,-9.907870913,-8.76648753,-0.015427145
1961,-0.002834339,-0.010124582,-0.07046612,-0.00076794,-0.00110561,0.013585164,-0.020366571,-0.049656784,-0.028839365,-0.001850141,-0.009000054,0.008060108,-0.000420641,-0.007008298,0.021517615,-0.023347626,-0.019798111,-0.000476498,-0.003027715,-0.004184202,-0.025716274,-0.025493884,-0.024999369,-0.030980678,-0.055023549,-0.004699425,-0.087954789,-0.222796108,-0.005104361,-0.024372418,NaN,-0.012071919,-0.013763573,-0.021124787,-0.007870554,-0.019648489,-0.03168464,-0.006473155,-0.009522615,-0.003959548,-0.003693343,-0.015353326,-0.008607841,-0.009481495,-0.004304183,-0.028264599,-0.01189929,-0.002984098,-0.010681769,-0.010734253,-0.005507953,0.000546728,-0.002738703,-0.006372244,-0.036327995,0.529134708,0.330491922,0.15772922,1.41493084,0.442211533,0.496109588,0.027178173,0.051633025,0.156178516,0.184699679,NaN,NaN,NaN,NaN,0.08059131,-0.008584169,-0.009598359,-1.004032665,NaN,-0.07580435,-26.36686434,-0.030274909,-0.024941438,-0.035626245,-0.037272774,-0.0220377,-0.004890734,-14.75164604,-11.45737775,-6.968767942,-0.027223473
1961.25,0.008832812,0.004934279,0.006686903,0.003728565,0.006340084,0.055716592,0.004443518,0.0302144,0.007623871,-0.001926248,-0.003527486,-0.004266277,0.004788802,0.006774885,-0.016845088,-0.030411759,-0.002788191,0.005002585,0.015729397,0.012338486,0.028466469,0.015053836,0.026971835,0.047827962,0.07042792,0.027369312,0.088321938,0.170123919,0.008265752,-0.006279023,NaN,-0.0031635,-0.003705988,0.003363597,-0.005103783,0.000884977,0.00610601,-0.000297939,-0.010016167,-0.004229342,-0.002815464,-0.003934389,-0.004119649,-0.009489887,-0.003780557,-0.005031921,-0.008756768,-0.000202796,-0.011994849,-0.008160762,0.003394589,0.00107659,-0.002318516,-0.006852786,-0.203570627,0.195130287,-0.204460964,0.283721207,-0.985327347,0.20793874,0.428947683,-0.091689543,-0.024822974,0.057897977,0.263071721,NaN,NaN,NaN,NaN,-0.062340292,-0.014702939,-0.00631864,-0.667933901,NaN,0.124374434,-25.26265261,0.014687158,-0.005123061,0.073265219,0.067234181,0.002465798,-0.019191179,-7.322618682,-7.672816429,8.19584172,-0.015828291
